danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.684,0.834,0,-5.705,1,0.104,0.0465,0.000796,0.117,0.374,94.939,audio_features,3sp92RPdzT14o56XGXGMpG,spotify:track:3sp92RPdzT14o56XGXGMpG,https://api.spotify.com/v1/tracks/3sp92RPdzT14o56XGXGMpG,https://api.spotify.com/v1/audio-analysis/3sp92RPdzT14o56XGXGMpG,191720,4
0.614,0.91,11,-3.175,0,0.0444,0.00956,0.000301,0.343,0.407,128.973,audio_features,73ptateUzEZc4xXGWlQpaa,spotify:track:73ptateUzEZc4xXGWlQpaa,https://api.spotify.com/v1/tracks/73ptateUzEZc4xXGWlQpaa,https://api.spotify.com/v1/audio-analysis/73ptateUzEZc4xXGWlQpaa,232907,3
0.626,0.683,11,-5.548,0,0.0312,0.0878,0.000155,0.286,0.673,97.997,audio_features,6ULXR7Y3NSKyMmBrOI42nb,spotify:track:6ULXR7Y3NSKyMmBrOI42nb,https://api.spotify.com/v1/tracks/6ULXR7Y3NSKyMmBrOI42nb,https://api.spotify.com/v1/audio-analysis/6ULXR7Y3NSKyMmBrOI42nb,164627,4
0.552,0.917,7,-3.242,1,0.166,0.096,3.54e-05,0.112,0.771,176.814,audio_features,0w85Ccseg5ntr73w1DxWYE,spotify:track:0w85Ccseg5ntr73w1DxWYE,https://api.spotify.com/v1/tracks/0w85Ccseg5ntr73w1DxWYE,https://api.spotify.com/v1/audio-analysis/0w85Ccseg5ntr73w1DxWYE,181533,4
0.665,0.662,0,-5.297,1,0.0448,0.0652,0.000181,0.283,0.241,115.925,audio_features,2OOIyMjLbrLMeg2EXShcOh,spotify:track:2OOIyMjLbrLMeg2EXShcOh,https://api.spotify.com/v1/tracks/2OOIyMjLbrLMeg2EXShcOh,https://api.spotify.com/v1/audio-analysis/2OOIyMjLbrLMeg2EXShcOh,355480,4
0.529,0.709,10,-6.735,1,0.0339,0.00246,0.13,0.0796,0.379,105.002,audio_features,31GH5YKy2EkyKAp8XgFJhY,spotify:track:31GH5YKy2EkyKAp8XgFJhY,https://api.spotify.com/v1/tracks/31GH5YKy2EkyKAp8XgFJhY,https://api.spotify.com/v1/audio-analysis/31GH5YKy2EkyKAp8XgFJhY,340707,4
0.554,0.922,5,-3.895,1,0.0998,0.0193,0.000849,0.0672,0.559,168.055,audio_features,1ypxlH0Ay2kjsyuHEHJsLF,spotify:track:1ypxlH0Ay2kjsyuHEHJsLF,https://api.spotify.com/v1/tracks/1ypxlH0Ay2kjsyuHEHJsLF,https://api.spotify.com/v1/audio-analysis/1ypxlH0Ay2kjsyuHEHJsLF,263547,4
0.334,0.525,2,-7.133,1,0.0352,0.0223,0.761,0.0806,0.385,170.222,audio_features,4NyqwUUUkoN63rAgE8hY77,spotify:track:4NyqwUUUkoN63rAgE8hY77,https://api.spotify.com/v1/tracks/4NyqwUUUkoN63rAgE8hY77,https://api.spotify.com/v1/audio-analysis/4NyqwUUUkoN63rAgE8hY77,325427,4
0.591,0.885,0,-5.728,1,0.0355,0.000488,0.000581,0.142,0.528,125.009,audio_features,06VY2GMqAcZKyF3LZb4bXs,spotify:track:06VY2GMqAcZKyF3LZb4bXs,https://api.spotify.com/v1/tracks/06VY2GMqAcZKyF3LZb4bXs,https://api.spotify.com/v1/audio-analysis/06VY2GMqAcZKyF3LZb4bXs,296413,4
0.599,0.776,10,-6.667,1,0.0754,0.23,0.00231,0.227,0.596,128.035,audio_features,5YHAHZJLVL2BFPDPh2ulYR,spotify:track:5YHAHZJLVL2BFPDPh2ulYR,https://api.spotify.com/v1/tracks/5YHAHZJLVL2BFPDPh2ulYR,https://api.spotify.com/v1/audio-analysis/5YHAHZJLVL2BFPDPh2ulYR,258867,4
0.55,0.861,2,-3.974,1,0.0525,0.00056,0.00597,0.0816,0.797,90.975,audio_features,4bli6uyPanbB5HzRTbKeDF,spotify:track:4bli6uyPanbB5HzRTbKeDF,https://api.spotify.com/v1/tracks/4bli6uyPanbB5HzRTbKeDF,https://api.spotify.com/v1/audio-analysis/4bli6uyPanbB5HzRTbKeDF,185520,4
0.59,0.843,4,-4.643,1,0.0312,0.000175,0.597,0.122,0.505,133.02,audio_features,1AhLmSV0uOFvLIyrGO2zJc,spotify:track:1AhLmSV0uOFvLIyrGO2zJc,https://api.spotify.com/v1/tracks/1AhLmSV0uOFvLIyrGO2zJc,https://api.spotify.com/v1/audio-analysis/1AhLmSV0uOFvLIyrGO2zJc,232227,4
